Country,State/Province,City,Business Name,Phone,Address,Contact Name,Qty of 7ft Tables,Qty of 8ft Tables,Qty of 9ft Tables,Latitude,Longitude,Geocode Success
USA,AK,Anchorage,Panhandle Bar,(907) 277-9311,"312 West 4th Avenue Anchorage, AK 99504",Jerry Buffington,,,,61.2183318,-149.8880257,TRUE
USA,AK,Anchorage,Anchorage Billiard Palace,(907) 562-4251,"903 W Northern Lights Blvd. Anchorage, AK 99503",,10,,6,61.1955981,-149.8997549,TRUE
USA,AK,Fairbanks,Bank's Billiards,(907) 322-7635,"544 3rd Ave. Fairbanks, AK 99701",Max Adams,1,,6,64.8430855,-147.7201888,TRUE
USA,AK,Fairbanks,Red Fox Bar & Grill,(907) 479-9082,"398 Old Chena Pump Rd. Fairbanks, AK 99709",,,,3,64.8483536,-147.8668356,TRUE
USA,AK,Fairbanks,Tony's Sports Bar,907-378-6969,"537 Gaffney St. Fairbanks, AK 99701",J. D. Clawson,2,,1,64.8368086,-147.7175294,TRUE
USA,AK,Fort Wainwright,American Legion Post 57,(907) 388-5024,"P.O. Box 35574 Fort Wainwright, AK 99703",Robert Monteith,,,1,64.8277871,-147.6429151,TRUE
USA,AK,Juneau,Crystal Saloon,(415) 205-3704,"218 Front Street Juneau, AK 99801",Jack Tripp & Jared Cure,,,,58.3007358,-134.4069332,TRUE
USA,AK,Juneau,Viking Lounge Billiards,(907) 586-2159,"218 Front St. Juneau, AK 99801",,5,,,58.3007358,-134.4069332,TRUE
USA,AK,Fairbanks,Bank's Billiards,(907) 322-7635,"544 3rd Ave. Fairbanks, AK 99701",,1,,6,64.8430855,-147.7201888,TRUE
USA,AK,Fairbanks,Tony's Sports Bar,907-378-6969,"537 Gaffney St. Fairbanks, AK 99701",,2,,1,64.8368086,-147.7175294,TRUE
USA,AK,Juneau,Crystal Saloon,(415) 205-3704,"218 Front Street Juneau, AK 99801",,,,,58.3007358,-134.4069332,TRUE
USA,AL,Adger,River Bend Sports Bar & Grill,(205) 491-3390,"108 Hurd Shoals Rd. Adger, AL 35006",,,,,33.5267486,-87.2380294,TRUE
USA,AL,Anniston,Rack and Roll Billiards,205-862-8700,"917 Noble St. Anniston, AL 36201",,,,,33.6564416,-85.8294343,TRUE
USA,AL,Anniston,Rack and Roll Billiards,256-282-1206,"917 Noble Street Anniston, AL 36201",,,,,33.6564416,-85.8294343,TRUE
USA,AL,Birmingham,"Veal Convention Services, Inc.",205-328-1010,"3016 Rev. Abraham Woods Jr. Blvd. Birmingham, AL 35203",Katie Clements,,,,33.5289728,-86.7962035,TRUE
USA,AL,Birmingham,Iron City Billiards,(256) 375-6454,"800 Gadsden Hwy Birmingham, AL 35235",,,,,33.5850061,-86.6731417,TRUE
USA,AL,Birmingham,Pub 261,(205) 444-0261,"9340 Helena Rd Birmingham, AL 35244",,,,,33.323227,-86.8168564,TRUE
USA,AL,Birmingham,Courtyard Oyster Bar,(205) 261-9235,"4643 Highway 280 Suite M Birmingham, AL 35242","Carson Robinson Paul Baker
Michael Catanese",,,,33.4271615,-86.7042258,TRUE
USA,AL,Boaz,The Gridiron,256-302-3189,"214 S. McCleskey Street Boaz, AL 35957",Clint Compton,,,,34.1966425,-86.1558604,TRUE
USA,AL,Clanton,Peach City Billiards,205-761-0589,"715 2nd Ave. N. Clanton, AL 35045",Matthew Fountain,,,,32.8386646,-86.6316831,TRUE
USA,AL,Decatur,6 Pocket Billiards,(256) 686-3171,"1819 Bassett Ave SE Decatur, AL 35601",,14,,8,34.5753539,-86.9782847,TRUE
USA,AL,Dora,Sayre Bar & Grill,(205) 648-7427,"4657 Brents Cutoff Rd. Dora, AL 35062",,4,,,33.714046,-86.9937842,TRUE
USA,AL,Foley,The Office Lounge,(251) 970-0043,"122 Co Rd 20 Foley, AL 36535",,7,,,30.371033,-87.6859693,TRUE
USA,AL,Hoover,Bumpers,(205) 983-2016,"2132 Lornaridge Lane Hoover, AL 35216",Khoa Nguyen,,,,33.392285,-86.7938921,TRUE
USA,AL,Hoover,Axe House Billiards,(205) 281-2849,"1901 B Hoover Court Hoover, AL 35226",Janet Arledge,10,,1,33.4025837,-86.8084852,TRUE
USA,AL,Hueytown,Shooters Sports Bar,(205) 744-2277,"821 Allison-Bonnett Memorial Drive Hueytown, AL 35023",,5,,,33.4569742,-86.961521,TRUE
USA,AL,Hueytown,Sportsters Bar & Grill,(205) 744-6292,"242 Forest Road Hueytown, AL 35023",,2,,,33.451435,-86.9811231,TRUE
USA,AL,Huntsville,Billiards & Barstools,(256) 426-1874,"3607 Memorial Parkway S Huntsville, AL 35801",Steve Koslow,,,,34.7731743,-86.58516,TRUE
USA,AL,Huntsville,Bumpers - AL,(256) 527-3635,"4925 University Drive #188 Huntsville, AL 35816",Robert Hall,16,,8,34.7375482,-86.6564251,TRUE
USA,AL,Huntsville,Chips And Salsa Sports Bar,(256) 426-7409 (cell),"10300 Bailey Cove Road Huntsville, AL 35803",Alfredo Ortiz,8,,,34.6430375,-86.5409747,TRUE
USA,AL,Huntsville,Encore Pub & Grill,(256) 886-5079,"13136 South Memorial Parkway Huntsville, AL 35802",Danita Gardner,,,,34.7000158,-86.5859749,TRUE
USA,AL,Huntsville,Good Timez Billiards,256-990-9986 (Cell),"6241 University Drive Huntsville, AL 35806",Sam Zuaiter,18,,10,34.7436772,-86.6794205,TRUE
USA,AL,Huntsville,Steve's Billiards & Lounge,(256) 539-8919,"2322 Memorial Parkway Southwest Huntsville, AL 35801",,12,,,34.7139382,-86.5918287,TRUE
USA,AL,Huntsville,Steve's Cue and Grill,256-684-1786,"2322 1/2 S. Memorial Huntsville, AL 35801",Sharee Skipworth,,,,34.7037827,-86.5879803,TRUE
